id,name,is_group,source
7740,Monoamine Oxidase Inhibitors,1,LEXICOMP
7741,Alpha/Beta Agonists,1,LEXICOMP
7742,Amphetamines,1,LEXICOMP
7743,Inhalational Anesthetics,1,LEXICOMP
7744,Reversible Inhibitors of MAO-A,1,LEXICOMP
7745,Irreversible inhibitors of MAO-B,1,LEXICOMP
7746,Serotonin/Norepinephrine Reuptake Inhibitors,1,LEXICOMP
7747,Selective Serotonin Reuptake Inhibitors,1,LEXICOMP
7748,Indirectly Acting Sympathomimetic Amines,1,LEXICOMP
7749,Tricyclic Antidepressants,1,LEXICOMP
7750,Vasodilators Organic Nitrates,1,LEXICOMP
7751,Phosphodiesterase 5 Inhibitors,1,LEXICOMP
7753,Proton Pump Inhibitors,1,LEXICOMP
7754,High Risk QT Prolonging Agents,1,LEXICOMP
7755,Moderate Risk QT Prolonging Agents,1,LEXICOMP
7756,Moderate CYP2D6 Inhibitors,1,LEXICOMP
3849,naloxegol,0,DRUGDB
3850,gemigliptin,0,DRUGDB
3851,eliglustat,0,DRUGDB
3852,ethacizine,0,DRUGDB
3853,antimony pentasulfide,0,DRUGDB
3854,apremilast,0,DRUGDB
3855,empagliflozin,0,DRUGDB
3856,vintafolide,0,DRUGDB
3857,etilefrine pivalate,0,DRUGDB
3858,laquinimod,0,DRUGDB
3859,iodohippurate sodium I125,0,DRUGDB
3860,iodohippurate sodium I131,0,DRUGDB
3861,laninamivir,0,DRUGDB
3862,peramivir,0,DRUGDB
3863,florbetaben F18,0,DRUGDB
3864,delamanid,0,DRUGDB
3865,nordefrin,0,DRUGDB
3866,tasimelteon,0,DRUGDB
3867,rifamycin,0,DRUGDB
3868,luliconazole,0,DRUGDB
3869,olodaterol,0,DRUGDB
3870,umeclidinium,0,DRUGDB
3871,vortioxetine,0,DRUGDB
3872,riociguat,0,DRUGDB
3873,ipidacrine,0,DRUGDB
3874,macitentan,0,DRUGDB
3875,ibrutinib,0,DRUGDB
3876,sofosbuvir,0,DRUGDB
3877,simeprevir,0,DRUGDB
3878,dolutegravir,0,DRUGDB
3879,sodium picosulfate,0,DRUGDB
3880,sodium tartrate,0,DRUGDB
3881,sodium selenate,0,DRUGDB
3882,sodium selenite,0,DRUGDB
3883,hachimycin,0,DRUGDB
3884,sodium chlorite,0,DRUGDB
3885,sinecatechins,0,DRUGDB
3886,mercuric amidochloride,0,DRUGDB
3887,mercuric chloride,0,DRUGDB
3888,mercurochrome,0,DRUGDB
3889,technetium Tc 99m tilmanocept,0,DRUGDB
3890,polaprezinc,0,DRUGDB
3891,dimethyl fumarate,0,DRUGDB
3892,canagliflozin,0,DRUGDB
3893,aloglutamol,0,DRUGDB
3894,aloxiprin,0,DRUGDB
3895,aluminium acetoacetate,0,DRUGDB
3896,glycerol phenylbutyrate,0,DRUGDB
3897,pomalidomide,0,DRUGDB
3898,quifenadine,0,DRUGDB
3899,ospemifene,0,DRUGDB
3900,cetyl alcohol,0,DRUGDB
3901,fomivirsen,0,DRUGDB
3902,levobetaxolol,0,DRUGDB
3903,pentetate calcium trisodium,0,DRUGDB
3904,pentetate zinc trisodium,0,DRUGDB
3905,regorafenib,0,DRUGDB
3906,tedisamil,0,DRUGDB
3907,meprotixol,0,DRUGDB
3908,mersalyl,0,DRUGDB
3909,metabutethamine,0,DRUGDB
3910,metamizole,0,DRUGDB
3911,methylatropine,0,DRUGDB
3912,creatine,0,DRUGDB
3913,choline magnesium trisalicylate,0,DRUGDB
3914,benzoin,0,DRUGDB
3915,oxygen,0,DRUGDB
