id,struct_id,approval,type,applicant,orphan
4268,5391,2020-04-04,FDA,IMMUNOMEDICS INC,f
4269,5392,2020-05-06,FDA,NOVARTIS PHARM,t
4270,5392,2020-06-29,PMDA,Novartis Pharma K.K.,t
4271,5393,2020-05-08,FDA,LOXO ONCOLOGY INC,t
4272,5394,2020-05-15,FDA,DECIPHERA PHARMS,t
4273,5395,2020-05-20,FDA,ZIONEXA,
4274,247,2020-05-26,FDA,AMIVAS,t
4275,5396,2020-05-28,FDA,AVID RADIOPHARMS INC,
4276,5397,2020-06-11,FDA,VIELA BIO,t
4277,5398,2020-06-15,FDA,JAZZ,t
4278,5399,2020-06-30,FDA,ULTRAGENYX PHARM INC,t
4279,5400,2020-07-02,FDA,ACACIA,
4280,5400,2020-01-23,PMDA,Anerem,
4281,5401,2020-07-02,FDA,ViiV Healthcare Company,
4282,5402,2020-07-07,FDA,OTSUKA,t
4283,5403,2020-07-24,FDA,DR REDDYS LABS SA,
4284,5404,2020-07-31,FDA,MORPHOSYS US INC,t
4285,5405,2020-05-08,FDA,GLAXOSMITHKLINE,t
4286,5405,2020-08-25,EMA,GlaxoSmithKline (Ireland) Limited,t
4287,1929,2020-06-08,FDA,BAYER HEALTHCARE,t
4288,5406,2020-08-07,FDA,TREVENA INC,
4289,5407,2020-08-07,FDA,GENENTECH INC,t
4290,5408,2020-08-12,FDA,NIPPON SHINYAKU,t
4291,5408,2020-03-25,PMDA,Nippon Shinyaku,t
4292,5409,2020-08-14,FDA,GENENTECH,t
4293,5410,2020-08-26,FDA,CASSIOPEA SPA,
4294,5411,2020-09-03,FDA,RADIOMEDIX,t
4295,5412,2020-09-04,FDA,BLUEPRINT MEDICINES,t
4296,5376,2020-03-07,EMA,Gilead Sciences Ireland UC,
4297,5376,2020-10-22,FDA,GILEAD SCIENCES INC,
4298,5413,2020-08-28,FDA,NOVO NORDISK INC,
4299,5414,2020-11-20,FDA,EIGER BIOPHARMACEUTICALS INC,t
4300,5415,2020-11-23,FDA,ALNYLAM PHARMS INC,t
4301,5415,2020-11-19,EMA,Alnylam Netherlands B.V.,t
4302,5416,2020-11-25,FDA,RHYTHM PHARMACEUTICALS INC,t
4303,5416,2018-11-19,EMA,Rhythm Pharmaceuticals Limited,t
4304,5417,2020-07-31,EMA,MYR GmbH,t
4305,5418,2020-08-26,EMA,Hansa Biopharma AB,t
