syn_id,id,name,preferred_name,parent_id,lname
23310,5391,sacituzumab,,,sacituzumab
23311,5391,sacituzumab govitecan,1,,sacituzumab govitecan
23312,5391,sacituzumab govitecan-hziy,,,sacituzumab govitecan-hziy
23313,5391,trodelvy,,,trodelvy
23314,5391,IMMU-132,,,immu-132
23315,5391,TROP-2-SN-38,,,trop-2-sn-38
23316,5391,hRS7-SN-38-ADC,,,hrs7-sn-38-adc
23317,5392,capmatinib,1,,capmatinib
23318,5392,capmatinib hydrochloride,,,capmatinib hydrochloride
23319,5392,capmatinib hydrochloride hydrate,,,capmatinib hydrochloride hydrate
23320,5392,tabrecta,,,tabrecta
23321,5392,NVP-INC280-NX,,,nvp-inc280-nx
23322,5392,INC280,,,inc280
23323,5392,INCB-028060,,,incb-028060
23324,5393,selpercatinib,1,,selpercatinib
23325,5393,retevmo,,,retevmo
23326,5393,LOXO-292,,,loxo-292
23327,5393,LY3527723,,,ly3527723
23328,5394,ripretinib,1,,ripretinib
23329,5394,qinlock,,,qinlock
23330,5394,DCC-2618,,,dcc-2618
23331,5395,fluoroestradiol F-18,,,fluoroestradiol f-18
23332,5395,fluoroestradiol F 18,1,,fluoroestradiol f 18
23333,5395,fluoroestradiol,,,fluoroestradiol
23334,5395,cerianna,,,cerianna
23335,5396,flortaucipir F 18,1,,flortaucipir f 18
23336,5396,flortaucipir (18F),,,flortaucipir (18f)
23337,5396,flortaucipir,,,flortaucipir
23338,5396,flortaucipir F18,,,flortaucipir f18
23339,5396,tauvid,,,tauvid
23340,5396,18F-AV-1451,,,18f-av-1451
23341,5396,[F-18]T807,,,[f-18]t807
23342,5396,LY3191748,,,ly3191748
23343,5397,inebilizumab,1,,inebilizumab
23344,5397,inebilizumab-cdon,,,inebilizumab-cdon
23345,5397,uplizna,,,uplizna
23346,5397,16C4-aFuc,,,16c4-afuc
23347,5397,A-fucosylated anti-CD19 antibody,,,a-fucosylated anti-cd19 antibody
